map,family,method,sr,sc,gr,gc,lam,opt,suboptimality,node_reduction,nodes,solved
arena.map,dao,ILS,40,42,9,3,1.0,51.8406,1.0,0.3737,486,1
arena.map,dao,AILS,40,42,9,3,1.0,51.8406,1.0,0.2925,549,1
arena.map,dao,ILS,45,3,11,39,1.0,52.4264,0.98883,0.6169,339,1
arena.map,dao,AILS,45,3,11,39,1.0,52.4264,0.98883,0.6881,276,1
arena.map,dao,ILS,45,21,2,41,1.0,51.2843,1.0,0.8587,158,1
arena.map,dao,AILS,45,21,2,41,1.0,51.2843,1.0,0.754,275,1
arena.map,dao,ILS,33,3,14,46,1.0,50.8701,1.0,0.8634,165,1
arena.map,dao,AILS,33,3,14,46,1.0,50.8701,1.0,0.769,279,1
arena.map,dao,ILS,7,39,41,3,1.0,50.0833,1.0,0.7761,163,1
arena.map,dao,AILS,7,39,41,3,1.0,50.0833,1.0,0.6209,276,1
arena.map,dao,ILS,39,5,3,39,1.0,50.0833,1.0,0.7532,176,1
arena.map,dao,AILS,39,5,3,39,1.0,50.0833,1.0,0.5764,302,1
arena.map,dao,ILS,42,15,6,47,1.0,49.2548,1.0,0.7984,172,1
arena.map,dao,AILS,42,15,6,47,1.0,49.2548,1.0,0.6471,301,1
arena.map,dao,ILS,6,2,40,36,1.0,48.669,1.0,0.8091,164,1
arena.map,dao,AILS,6,2,40,36,1.0,48.669,1.0,0.6752,279,1
arena.map,dao,ILS,32,4,19,47,1.0,48.3848,1.0,0.8727,156,1
arena.map,dao,AILS,32,4,19,47,1.0,48.3848,1.0,0.7837,265,1
arena.map,dao,ILS,42,2,3,24,1.0,48.1127,1.0,0.4589,349,1
arena.map,dao,AILS,42,2,3,24,1.0,48.1127,1.0,0.6186,246,1
arena.map,dao,ILS,31,37,3,1,1.0,47.598,1.0,0.2965,337,1
arena.map,dao,AILS,31,37,3,1,1.0,47.598,1.0,0.4843,247,1
arena.map,dao,ILS,36,14,1,43,1.0,47.0122,1.03738,0.6662,247,1
arena.map,dao,AILS,36,14,1,43,1.0,47.0122,1.03738,0.6838,234,1
arena.map,dao,ILS,2,21,41,40,1.0,46.8701,1.0,0.7672,271,1
arena.map,dao,AILS,2,21,41,40,1.0,46.8701,1.0,0.7861,249,1
arena.map,dao,ILS,4,8,43,26,1.0,46.4558,1.0,0.8518,150,1
arena.map,dao,AILS,4,8,43,26,1.0,46.4558,1.0,0.7441,259,1
arena.map,dao,ILS,36,42,3,10,1.0,46.2548,1.0,0.6538,152,1
arena.map,dao,AILS,36,42,3,10,1.0,46.2548,1.0,0.4374,247,1
arena.map,dao,ILS,6,39,40,12,1.0,45.7696,1.0128,0.661,280,1
arena.map,dao,AILS,6,39,40,12,1.0,45.7696,1.0128,0.7131,237,1
arena.map,dao,ILS,22,46,6,7,1.0,45.6274,1.0,0.3147,466,1
arena.map,dao,AILS,22,46,6,7,1.0,45.6274,1.0,0.2765,492,1
arena.map,dao,ILS,6,11,42,34,1.0,45.5269,1.0,0.7079,293,1
arena.map,dao,AILS,6,11,42,34,1.0,45.5269,1.0,0.7488,252,1
arena.map,dao,ILS,6,45,26,8,1.0,45.2843,1.0,0.7887,149,1
arena.map,dao,AILS,6,45,26,8,1.0,45.2843,1.0,0.6397,254,1
arena.map,dao,ILS,47,30,7,40,1.0,44.1421,1.0,0.7154,257,1
arena.map,dao,AILS,47,30,7,40,1.0,44.1421,1.0,0.7641,213,1
arena.map,dao,ILS,3,4,27,38,1.0,43.9411,1.0,0.7869,150,1
arena.map,dao,AILS,3,4,27,38,1.0,43.9411,1.0,0.6278,262,1
arena.map,dao,ILS,40,10,6,32,1.0,43.1127,1.0,0.6006,276,1
arena.map,dao,AILS,40,10,6,32,1.0,43.1127,1.0,0.6512,241,1
arena.map,dao,ILS,45,44,9,27,1.0,43.0416,1.0,0.8015,134,1
arena.map,dao,AILS,45,44,9,27,1.0,43.0416,1.0,0.6593,230,1
arena.map,dao,ILS,1,14,34,38,1.0,42.9411,1.0,0.8058,140,1
arena.map,dao,AILS,1,14,34,38,1.0,42.9411,1.0,0.6671,240,1
arena.map,dao,ILS,13,21,45,44,1.0,41.5269,1.0,0.8656,137,1
arena.map,dao,AILS,13,21,45,44,1.0,41.5269,1.0,0.7615,243,1
arena.map,dao,ILS,8,28,44,15,1.0,42.2132,0.98038,0.8609,131,1
arena.map,dao,AILS,8,28,44,15,1.0,42.2132,0.98038,0.7611,225,1
arena.map,dao,ILS,25,8,15,45,1.0,41.9706,0.98026,0.8669,126,1
arena.map,dao,AILS,25,8,15,45,1.0,41.9706,0.98026,0.7709,217,1
