map,family,method,sr,sc,gr,gc,lam,opt,suboptimality,node_reduction,nodes,solved
arena.map,dao,ILS,40,42,9,3,0.0,51.8406,1.0,-1.1296,230,1
arena.map,dao,AILS,40,42,9,3,0.0,51.8406,1.0,-0.7685,191,1
arena.map,dao,ILS,45,3,11,39,0.0,51.8406,1.0,-0.3081,242,1
arena.map,dao,AILS,45,3,11,39,0.0,51.8406,1.0,0.0324,179,1
arena.map,dao,ILS,45,21,2,41,0.0,51.2843,1.0,0.6234,151,1
arena.map,dao,AILS,45,21,2,41,0.0,51.2843,1.0,0.4065,238,1
arena.map,dao,ILS,33,3,14,46,0.0,50.8701,1.0,0.6186,156,1
arena.map,dao,AILS,33,3,14,46,0.0,50.8701,1.0,0.4034,244,1
arena.map,dao,ILS,7,39,41,3,0.0,50.0833,1.0,0.0,50,1
arena.map,dao,AILS,7,39,41,3,0.0,50.0833,1.0,0.0,50,1
arena.map,dao,ILS,39,5,3,39,0.0,50.0833,1.0,0.0,104,1
arena.map,dao,AILS,39,5,3,39,0.0,50.0833,1.0,0.0,104,1
arena.map,dao,ILS,42,15,6,47,0.0,49.2548,1.0,0.1718,135,1
arena.map,dao,AILS,42,15,6,47,0.0,49.2548,1.0,0.0,163,1
arena.map,dao,ILS,6,2,40,36,0.0,48.669,1.0,0.0,80,1
arena.map,dao,AILS,6,2,40,36,0.0,48.669,1.0,0.0,80,1
arena.map,dao,ILS,32,4,19,47,0.0,48.3848,1.0,0.4712,147,1
arena.map,dao,AILS,32,4,19,47,0.0,48.3848,1.0,0.1799,228,1
arena.map,dao,ILS,42,2,3,24,0.0,48.1127,1.0,0.1352,307,1
arena.map,dao,AILS,42,2,3,24,0.0,48.1127,1.0,0.4254,204,1
arena.map,dao,ILS,31,37,3,1,0.0,47.598,1.0,-0.2236,290,1
arena.map,dao,AILS,31,37,3,1,0.0,47.598,1.0,0.1561,200,1
arena.map,dao,ILS,36,14,1,43,0.0,47.0122,1.03738,-3.3889,158,1
arena.map,dao,AILS,36,14,1,43,0.0,47.0122,1.03738,-3.0278,145,1
arena.map,dao,ILS,2,21,41,40,0.0,46.8701,1.0,0.2594,197,1
arena.map,dao,AILS,2,21,41,40,0.0,46.8701,1.0,0.3421,175,1
arena.map,dao,ILS,4,8,43,26,0.0,46.4558,1.0,0.5442,134,1
arena.map,dao,AILS,4,8,43,26,0.0,46.4558,1.0,0.3061,204,1
arena.map,dao,ILS,36,42,3,10,0.0,46.2548,1.0,0.0,65,1
arena.map,dao,AILS,36,42,3,10,0.0,46.2548,1.0,0.0,65,1
arena.map,dao,ILS,6,39,40,12,0.0,45.7696,1.0128,0.0042,236,1
arena.map,dao,AILS,6,39,40,12,0.0,45.7696,1.0128,0.1857,193,1
arena.map,dao,ILS,22,46,6,7,0.0,45.6274,1.0,-0.1701,399,1
arena.map,dao,AILS,22,46,6,7,0.0,45.6274,1.0,-0.1408,389,1
arena.map,dao,ILS,6,11,42,34,0.0,45.5269,1.0,0.1733,229,1
arena.map,dao,AILS,6,11,42,34,0.0,45.5269,1.0,0.3213,188,1
arena.map,dao,ILS,6,45,26,8,0.0,45.2843,1.0,0.5345,135,1
arena.map,dao,AILS,6,45,26,8,0.0,45.2843,1.0,0.2897,206,1
arena.map,dao,ILS,47,30,7,40,0.0,44.1421,1.0,0.1149,208,1
arena.map,dao,AILS,47,30,7,40,0.0,44.1421,1.0,0.3021,164,1
arena2.map,dao,ILS,107,11,207,273,0.0,363.9239,nan,nan,60211,0
arena2.map,dao,AILS,107,11,207,273,0.0,363.9239,nan,nan,49015,0
arena2.map,dao,ILS,108,10,187,280,0.0,362.8823,nan,nan,65327,0
arena2.map,dao,AILS,108,10,187,280,0.0,362.8823,nan,nan,47044,0
arena2.map,dao,ILS,190,268,112,1,0.0,362.7817,nan,nan,25456,0
arena2.map,dao,AILS,190,268,112,1,0.0,362.7817,nan,nan,19942,0
arena2.map,dao,ILS,197,270,111,6,0.0,362.267,nan,nan,24364,0
arena2.map,dao,AILS,197,270,111,6,0.0,362.267,nan,nan,20289,0
arena2.map,dao,ILS,112,5,181,275,0.0,362.0538,nan,nan,59890,0
arena2.map,dao,AILS,112,5,181,275,0.0,362.0538,nan,nan,49773,0
arena2.map,dao,ILS,196,279,106,13,0.0,361.7817,nan,nan,25759,0
arena2.map,dao,AILS,196,279,106,13,0.0,361.7817,nan,nan,20890,0
arena2.map,dao,ILS,178,267,112,16,0.0,360.9828,nan,nan,26220,0
arena2.map,dao,AILS,178,267,112,16,0.0,360.9828,nan,nan,27592,0
arena2.map,dao,ILS,203,258,97,6,0.0,360.7107,nan,nan,21458,0
arena2.map,dao,AILS,203,258,97,6,0.0,360.7107,nan,nan,18068,0
arena2.map,dao,ILS,96,10,184,272,0.0,360.2254,nan,nan,76977,0
arena2.map,dao,AILS,96,10,184,272,0.0,360.2254,nan,nan,43812,0
arena2.map,dao,ILS,198,268,101,4,0.0,360.196,nan,nan,24414,0
arena2.map,dao,AILS,198,268,101,4,0.0,360.196,nan,nan,20202,0
arena2.map,dao,ILS,207,251,99,8,0.0,358.9828,nan,nan,18442,0
arena2.map,dao,AILS,207,251,99,8,0.0,358.9828,nan,nan,17381,0
arena2.map,dao,ILS,197,273,104,10,0.0,358.3675,nan,nan,25142,0
arena2.map,dao,AILS,197,273,104,10,0.0,358.3675,nan,nan,20702,0
arena2.map,dao,ILS,109,10,184,276,0.0,358.0538,nan,nan,65215,0
arena2.map,dao,AILS,109,10,184,276,0.0,358.0538,nan,nan,47368,0
arena2.map,dao,ILS,206,242,109,8,0.0,357.2254,nan,nan,15746,0
arena2.map,dao,AILS,206,242,109,8,0.0,357.2254,nan,nan,14958,0
arena2.map,dao,ILS,97,19,192,240,0.0,356.8112,nan,nan,71339,0
arena2.map,dao,AILS,97,19,192,240,0.0,356.8112,nan,nan,46214,0
arena2.map,dao,ILS,105,7,202,260,0.0,356.7107,nan,nan,60550,0
arena2.map,dao,AILS,105,7,202,260,0.0,356.7107,nan,nan,48945,0
arena2.map,dao,ILS,189,222,96,14,0.0,356.6812,nan,nan,12960,0
arena2.map,dao,AILS,189,222,96,14,0.0,356.6812,nan,nan,11885,0
arena2.map,dao,ILS,190,256,97,19,0.0,356.468,nan,nan,24653,0
arena2.map,dao,AILS,190,256,97,19,0.0,356.468,nan,nan,18161,0
arena2.map,dao,ILS,97,21,183,224,0.0,356.4386,nan,nan,68919,0
arena2.map,dao,AILS,97,21,183,224,0.0,356.4386,nan,nan,42150,0
arena2.map,dao,ILS,99,5,191,267,0.0,356.1249,nan,nan,71260,0
arena2.map,dao,AILS,99,5,191,267,0.0,356.1249,nan,nan,47288,0
brc000d.map,dao,ILS,132,70,22,35,0.0,338.664,nan,nan,9461,0
brc000d.map,dao,AILS,132,70,22,35,0.0,338.664,nan,nan,9320,0
brc000d.map,dao,ILS,16,27,133,69,0.0,338.5462,nan,nan,40572,0
brc000d.map,dao,AILS,16,27,133,69,0.0,338.5462,nan,nan,44084,0
brc000d.map,dao,ILS,138,62,14,36,0.0,338.2914,nan,nan,10670,0
brc000d.map,dao,AILS,138,62,14,36,0.0,338.2914,nan,nan,9597,0
brc000d.map,dao,ILS,136,55,21,26,0.0,338.0315,nan,nan,8950,0
brc000d.map,dao,AILS,136,55,21,26,0.0,338.0315,nan,nan,9023,0
brc000d.map,dao,ILS,139,52,23,17,0.0,337.3747,nan,nan,8808,0
brc000d.map,dao,AILS,139,52,23,17,0.0,337.3747,nan,nan,8455,0
brc000d.map,dao,ILS,37,9,138,57,0.0,336.8894,nan,nan,17857,0
brc000d.map,dao,AILS,37,9,138,57,0.0,336.8894,nan,nan,11600,0
