size,density,corridor_width,n_valid,plan_time_ms,node_red_pct,opt_ratio,waypoints_after,compression_pct,mean_heading_deg,pipeline_speedup
30,0.1,0.03,100,356.5415,0.382,1.0,7.37,76.74,8.11,0.9858
30,0.1,0.05,100,354.8125,1.201,1.0,7.68,75.8,8.57,1.0068
30,0.1,0.07,100,344.229,2.814,1.000137,7.37,76.77,8.1,0.9962
30,0.1,0.1,100,373.3745,0.0,1.0,7.53,76.23,8.36,0.8814
30,0.1,0.15,100,387.8335,0.0,1.0,7.73,75.63,8.65,0.8743
30,0.15,0.03,100,377.0625,7.676,1.001063,9.76,69.92,11.49,1.1014
30,0.15,0.05,100,379.0835,7.316,1.000137,9.94,69.28,11.75,1.1103
30,0.15,0.07,100,393.1665,5.618,1.000274,9.88,69.5,11.64,1.0735
30,0.15,0.1,100,452.125,-0.415,1.0,9.5,70.65,11.09,0.8905
30,0.15,0.15,100,451.292,0.0,1.0,9.31,71.14,10.85,0.8958
30,0.2,0.03,100,366.646,9.299,1.00147,11.88,64.15,14.3,1.161
30,0.2,0.05,100,364.167,12.024,1.002095,12.27,63.15,14.75,1.19
30,0.2,0.07,100,378.417,13.703,1.00082,12.49,62.37,15.12,1.217
30,0.2,0.1,100,477.625,-0.659,1.0,11.43,65.33,13.69,0.9057
30,0.2,0.15,100,526.375,0.0,1.0,11.96,63.92,14.37,0.8893
30,0.25,0.03,100,366.7295,13.145,1.002765,13.95,59.06,16.92,1.2186
30,0.25,0.05,100,349.625,14.46,1.004188,14.14,58.57,17.18,1.2909
30,0.25,0.07,100,362.5,9.739,1.002643,14.07,58.83,16.96,1.2116
30,0.25,0.1,100,506.854,3.944,1.000716,14.06,58.77,16.97,0.9805
30,0.25,0.15,100,540.5215,0.0,1.0,13.52,60.07,16.28,0.9125
30,0.3,0.03,100,342.7705,11.442,1.006933,16.6,52.89,20.04,1.2579
30,0.3,0.05,100,346.875,15.199,1.005349,16.13,54.01,19.52,1.303
30,0.3,0.07,100,352.0,8.595,1.005644,15.61,55.33,18.89,1.1858
30,0.3,0.1,100,504.562,4.649,1.002499,15.84,55.12,18.78,1.0277
30,0.3,0.15,100,534.396,0.985,1.000179,15.4,55.72,18.45,0.9126
40,0.1,0.03,100,546.2085,3.43,1.000351,9.16,78.23,8.05,1.0524
40,0.1,0.05,100,517.0205,3.5,1.000206,8.81,79.06,7.63,1.0353
40,0.1,0.07,100,530.6665,3.945,1.000103,8.8,79.07,7.63,1.0451
40,0.1,0.1,100,647.25,0.0,1.0,9.02,78.54,7.88,0.8812
40,0.1,0.15,100,644.4375,0.0,1.0,9.1,78.41,7.94,0.8891
40,0.15,0.03,100,522.229,14.828,1.000819,12.38,71.31,11.34,1.2645
40,0.15,0.05,100,524.0,11.285,1.000617,11.52,73.11,10.48,1.1657
40,0.15,0.07,100,532.583,11.834,1.000307,12.06,71.95,11.03,1.1944
40,0.15,0.1,100,683.9375,0.457,1.0,11.54,73.09,10.49,0.9133
40,0.15,0.15,100,749.729,0.0,1.0,12.03,71.99,11.01,0.89
40,0.2,0.03,100,509.3545,19.825,1.001772,15.36,65.2,14.27,1.3391
40,0.2,0.05,100,509.792,19.916,1.002223,15.24,65.38,14.21,1.3169
