density,risk_type,lambda,n_valid,astar_time_mean,astar_time_std,ils_time_mean,ils_time_std,wa_time_mean,wa_time_std,ils_speedup,wa_speedup,astar_nodes_mean,astar_nodes_std,ils_nodes_mean,ils_nodes_std,wa_nodes_mean,wa_nodes_std,ils_node_red_pct,wa_node_red_pct,ils_opt_mean,ils_opt_std,wa_opt_mean,wa_opt_std
0.1,gradient,0.5,50,28.282245845766738,19.09567892337263,10.699744020821527,4.54618012571888,0.732640823116526,0.2433838940551686,2.643263781893282,38.60315307773734,5229.84,3415.2995826403976,2043.84,830.7447693706742,108.86,35.34726268881138,60.919645725299446,97.918483165833,1.0009604939775314,0.0017081889784316675,1.0248560379235028,0.013447144827783038
0.1,gradient,1.0,50,32.82506913994439,24.850139995174796,9.628935807850212,4.191804332066759,0.6625224824529141,0.26236969893149975,3.4090028010346685,49.54559280526346,6116.84,4530.016102868167,1837.04,763.6393785080515,100.1,40.31014963089701,69.96749955859562,98.36353411238483,1.001578151385605,0.002737036124340868,1.0288428963441847,0.02138017860684899
0.1,gradient,2.0,50,53.76361993490718,34.285964759120986,10.429146677488461,4.074046234433913,7.855374963255599,12.83541239577499,5.155131248748963,6.844182510242041,10059.02,6289.7151082103055,2047.18,795.180295048018,1387.1,2250.562290284137,79.64831564108631,86.21038630005707,1.00493386862635,0.00705115782067692,1.0165916513525626,0.023177461328892784
0.1,hotspot,0.5,50,8.597581738140434,7.55494332771408,5.953935859724879,3.6599037051114283,0.666841643396765,0.23091542357991937,1.4440165196098893,12.892988647718493,1629.5,1380.1303435929965,1097.74,672.0655279640156,102.6,34.608008982232505,32.633323105247,93.7035900583001,1.0022497763522396,0.006054510204224663,1.04693190442523,0.0318619728000063
0.1,hotspot,1.0,50,10.151438295142725,8.384698753948529,6.891294141532853,4.246715240284713,0.6953058612998575,0.26602751020870274,1.4730815557503845,14.59996076570512,1885.24,1552.9984895586435,1238.74,759.8795234799275,105.98,39.51671823934983,34.292716046763275,94.37843457596911,1.006505068313445,0.01365872622857841,1.0556272393165917,0.04275328095286164
0.1,hotspot,2.0,50,12.715573242167011,11.801522310543962,7.121632454218343,4.101166536678995,0.872178339632228,0.8795301866534245,1.7854857469701655,14.579097719313683,2367.08,2155.7930387962683,1301.76,741.4204392617606,133.3,136.65840774779747,45.00566098315224,94.3685891478108,1.01779432298745,0.04239570263614937,1.0759698218487037,0.07463674122759405
0.1,uniform,0.5,50,18.204849056201056,13.241209819787132,9.507344957673922,4.363081687763557,0.675785921048373,0.2467845807978822,1.9148194514081327,26.938781186739085,3629.1,2595.911300409133,1864.2,813.646516038276,98.88,35.490521873552986,48.63189220467884,97.2753575266595,1.0000000000000002,2.826166425630795e-16,1.0239818389926405,0.0175669300958866
0.1,uniform,1.0,50,29.738741723122075,23.596035916309063,9.58303748513572,3.648497599118513,0.7231009041424841,0.27448474906964826,3.103268850742777,41.12668308496843,5746.72,3685.5640780023377,1948.08,728.9241958292412,111.18,39.69973525846031,66.10101066347413,98.06533118022107,1.0000000000000002,3.1714313080323685e-16,1.0259192159543893,0.01463589176776651
0.1,uniform,2.0,50,41.12499332171865,28.224908589836147,9.830293343402445,3.9505733212676786,0.7097382843494415,0.2784337522755624,4.183496044837715,57.94388470873391,8102.44,5443.489034036303,1991.0,779.5216481920178,106.62,41.26860248446037,75.42715527668209,98.68410009824201,1.0,3.3601445959922217e-16,1.0180511802821488,0.014626201284555931
0.2,gradient,0.5,50,26.599190892884508,24.399539650951663,8.7265767774079,3.6879127712573223,0.7021958404220641,0.2629327346331276,3.0480670223112853,37.880017741057415,4819.2,3198.859548051972,1728.84,675.125970407277,112.52,37.09570633606305,64.12599601593625,97.66517264276229,1.0002655075634486,0.000753562457985086,1.0430004695124426,0.01957493261624462
0.2,gradient,1.0,50,35.702039200114086,22.589401917597222,8.993306681513786,3.274144131040514,0.7617391413077712,0.2706588113883159,3.969845626803932,46.869114719272545,7181.22,4430.389780106652,1865.5,689.0919268671412,124.64,44.51221341224387,74.02251985038755,98.26436176582808,1.0009528107793608,0.0019388322561909707,1.0390678788904346,0.022596317881819886
0.2,gradient,2.0,50,35.18071410013363,25.48924300422664,7.6563533407170326,2.928551235663267,4.3912849796470255,7.059880425357046,4.594970024834158,8.01148508083424,7198.72,5113.275710484285,1610.48,598.9274168146294,842.28,1329.8989073134353,77.62824502133712,88.29958659317212,1.0017027821024866,0.003705847858402815,1.017569486511952,0.020603604501523872
0.2,hotspot,0.5,50,7.390629159053788,7.3820647087604305,5.15725996112451,3.6578176373336526,0.6077699398156255,0.2557734863702199,1.4330534459702329,12.160241359248246,1462.36,1444.796628016044,989.22,704.6362005333253,99.24,40.219580975907135,32.354550179162445,93.21370934653574,1.0011188730922835,0.003945851426185787,1.0634958111892128,0.03928172448523942
0.2,hotspot,1.0,50,9.662095861276612,7.419686992483034,6.171482498757541,3.3382677232496722,0.6484975176863372,0.26462734233734514,1.565603704332275,14.89920253781131,1932.02,1475.3529289285188,1195.72,639.6988781402367,108.02,41.480012398400135,38.11037152824505,94.40896056976635,1.0064044772065046,0.016352799911689555,1.0761084873929272,0.044954291028093354
0.2,hotspot,2.0,50,12.796276662265882,13.867451396255317,6.041699235793203,3.697705004596777,1.1077733396086842,1.394569696094627,2.1179929954897667,11.551349183747378,2539.3,2721.549335528255,1202.3,727.6199178815539,195.72,260.55890007474943,52.65230575355413,92.29236403733312,1.0221899798761829,0.043886892126589104,1.1124100537388388,0.08088111243273628
0.2,uniform,0.5,50,15.99537574336864,11.84356184720209,7.72441748296842,3.7279155630434846,0.6405900395475328,0.2758381421245159,2.0707549506013714,24.96975406402921,3388.34,2454.2400512133263,1616.8,765.8862813227348,104.02,41.55227344648459,52.283419019342816,96.93006014744682,1.0,1.1749496091904414e-16,1.0561399466525572,0.03024774585977517
0.2,uniform,1.0,50,21.5079683449585,15.554432505863113,7.638017503777519,2.939211181272472,0.6094625149853528,0.21363959351594308,2.815909800458214,35.290059382036645,4482.72,3161.407694979809,1615.8,624.7492231581682,102.92,40.0244007208256,63.95492022700504,97.70407252739408,1.0,7.691850745534256e-17,1.0339912412580283,0.022210242938600827
0.2,uniform,2.0,50,29.618866654345766,21.921998856837188,7.37275909865275,3.104675521662974,0.6629183411132544,0.30402565535617954,4.0173381847995175,44.67951000511783,6340.64,4596.558978103476,1589.6,669.4927107862477,108.4,45.64861354266247,74.9299755229756,98.29039339877362,1.0,7.850462293418876e-17,1.03182939183295,0.013674688543627347
0.3,gradient,0.5,50,20.81899167271331,14.531322145349137,8.072071698261425,6.16574162900498,0.6812734028790146,0.27739582927245343,2.5791385967492504,30.558937989849127,4420.4,3054.3777749055107,1545.04,660.0594580515193,121.78,45.25586668474879,65.04750701294,97.24504569722197,1.0006943930167145,0.00283304778070286,1.0554141662100607,0.02605829086850971
0.3,gradient,1.0,50,22.29930074303411,16.07391159768877,6.3908066728618,2.3654515246757883,0.6483549706172198,0.24034674568778205,3.489277940095862,34.39366050021281,4855.36,3405.476554262656,1409.0,510.44686305236513,118.5,44.08907958639543,70.98052461609437,97.55939827324853,1.0003088088559777,0.0010382072279387375,1.0454059359717112,0.022995744924334406
0.3,gradient,2.0,50,43.49730335758068,23.82049884381826,7.503563357749954,2.5038349536132487,6.196583301061764,8.745935652338732,5.796886263731627,7.019562433724978,9470.64,5045.020534575227,1691.16,551.0043282914557,1269.62,1787.5609638811868,82.14312865867566,86.59414780838465,1.0026118547604967,0.004106816136731592,1.0185810524158359,0.018787895048118418
0.3,hotspot,0.5,50,8.72873003827408,7.870917622696503,5.26295832474716,3.3900710320370404,0.607140917563811,0.2799546184014059,1.6585215955882417,14.376777755811004,1843.14,1621.977981304535,1089.7,678.160604962017,112.32,48.339969518621174,40.87806677734736,93.9060516292848,1.003379946727733,0.007813223351859293,1.086055032164482,0.03915632452692636
0.3,hotspot,1.0,50,10.512805024627596,9.735938693542087,5.538213300751522,3.120271172485805,0.6510533392429352,0.26827237396961234,1.8982304316811045,16.14737901022397,2156.52,1977.9795942076958,1135.62,620.9800315564397,116.54,41.80870429829225,47.34015914528964,94.59592306122828,1.0087932107222748,0.01958381228754177,1.0987699509825677,0.05060930646814292
0.3,hotspot,2.0,50,11.714654202805832,14.430761055038273,5.134615781717002,3.1413423952003625,0.8905299787875265,1.1734693694513274,2.2815055109904407,13.154699428261312,2436.08,2878.5849332543908,1071.1,631.2618800660229,168.74,232.33216984063387,56.03182161505369,93.07329808544876,1.0247224121619825,0.05630853738207176,1.1169000608918702,0.07295603290115837
0.3,uniform,0.5,50,16.906983378576115,10.933975980613917,6.82218580157496,2.462941087442651,0.6796040572226048,0.24957911227244262,2.4782355494734536,24.877696357010155,3817.72,2420.7709519144214,1534.34,555.1955570162753,123.36,41.008590439027756,59.81004369099882,96.76875203000745,1.0005023880784136,0.0015947078470483175,1.0776366306492755,0.03104211112310692
0.3,uniform,1.0,50,17.65201905509457,13.637829331210694,5.977167516248301,2.568884258958181,0.5960300576407462,0.2543777130084342,2.9532414822086572,29.615988034170964,3930.9,2993.1361837186287,1342.38,561.1650377490001,110.12,43.9385656459153,65.85056857208274,97.19860591721996,1.0001985941379739,0.0010006417800810757,1.048443578139363,0.0209191300027844
0.3,uniform,2.0,50,32.518007503822446,18.6081109631973,7.083599157631397,2.391633808502496,0.7542958669364452,0.2520298191908022,4.590605253092238,43.11041453255413,7386.34,4182.209818226898,1620.38,535.7608699745796,141.62,50.07785367376909,78.06247749223567,98.08267694148928,1.0004542038087716,0.0014779609073252364,1.0371125963829935,0.015404464220291939
