density,risk_type,lambda,alpha,n_valid,n_failed,speedup_mean,speedup_std,node_red_mean,node_red_std,opt_ratio_mean,opt_ratio_std
0.1,gradient,0.5,0.01,30,0,26.649231522392963,2.084442813637825,95.3038054456482,0.13020208805421105,1.0023036795536855,0.0025136702731813126
0.1,gradient,0.5,0.02,30,0,13.647363637262664,0.8239849829398559,91.59290333876636,0.21309611926831476,1.0003446813583174,0.0008614312489175649
0.1,gradient,0.5,0.03,30,0,7.091621015630281,0.44643630109828203,84.32290290655614,0.34652484626440216,1.0,0.0
0.1,gradient,0.5,0.05,30,0,3.8662667975789433,0.574520602832186,73.76464814309968,0.5145123279912744,1.0,0.0
0.1,gradient,0.5,0.07,30,0,3.1170228759325656,0.16028216582275898,67.0327874400918,0.5937022145192281,1.0,0.0
0.1,gradient,0.5,0.1,30,0,1.9066114008552517,0.36768630371116795,51.23080653226288,0.7672263625216196,1.0,0.0
0.1,gradient,0.5,0.15,30,0,1.4222809915534134,0.09321604246657401,32.0421675662602,0.8951341215884852,1.0,0.0
0.1,gradient,0.5,0.2,30,0,1.1418887515524412,0.06419729003294569,16.604825477200738,0.9090308600646387,1.0,0.0
0.1,gradient,0.5,0.25,30,0,0.9715267952361454,0.07730351151911856,5.54570628188868,0.7353641844064864,1.0,0.0
0.1,gradient,0.5,0.3,30,0,0.9427294988156515,0.048285719827296285,0.1591830173794003,0.19276211977788174,1.0,0.0
0.1,gradient,1.0,0.01,30,0,39.519922721973444,5.0214821584300395,96.82589545613692,0.5535972139020935,1.0026008684416454,0.002858627249992947
0.1,gradient,1.0,0.02,30,0,21.556932980275768,1.229492610114403,94.4996266726566,0.0660137732670512,1.0005735004230887,0.0013842521080266836
0.1,gradient,1.0,0.03,30,0,11.120408547841036,0.5765957287266424,89.69537103332962,0.111426344698974,1.0,0.0
0.1,gradient,1.0,0.05,30,0,6.137313524133208,0.5090071801373002,82.67075384089989,0.18174779010406156,1.0,0.0
0.1,gradient,1.0,0.07,30,0,4.6653180060023045,0.6914695616798037,78.11928963076058,0.22350743480559918,1.0,0.0
0.1,gradient,1.0,0.1,30,0,3.1329296220117735,0.2988370637426681,67.17861464486775,0.31300306998149335,1.0,0.0
0.1,gradient,1.0,0.15,30,0,2.1122570369431313,0.17817412902584698,52.978694774719656,0.3811301222741982,1.0,0.0
0.1,gradient,1.0,0.2,30,0,1.5392833499561684,0.1935888281703162,40.20289629371407,0.431538919986159,1.0,0.0
0.1,gradient,1.0,0.25,30,0,1.2618505176271888,0.16179779272959208,28.90427489081639,0.45241329917600204,1.0,0.0
0.1,gradient,1.0,0.3,30,0,1.104767581638955,0.11431883279675663,19.24871137261108,0.44091863249773733,1.0,0.0
0.1,hotspot,0.5,0.01,30,0,5.9377048824409915,3.3247395365440755,74.42035079607952,13.728167970875791,1.0064290627683865,0.006220257718627242
0.1,hotspot,0.5,0.02,30,0,3.340461194583651,1.6708849559525054,59.836938634508066,19.900914142505393,1.003470012476555,0.00491102354791375
0.1,hotspot,0.5,0.03,30,0,1.7863986646898307,0.7632313222150746,38.00748501129042,24.255301525893262,1.0017032030467392,0.0033659543061795093
0.1,hotspot,0.5,0.05,30,0,1.2365239643466264,0.38871068140038934,19.400616822986464,18.97679628097079,1.000700972276707,0.002081148308243224
0.1,hotspot,0.5,0.07,30,0,0.8369630392459192,0.27037967420935893,11.864207729215257,13.979121764287932,1.0002370993763494,0.001298646767970136
0.1,hotspot,0.5,0.1,30,0,0.8486749032640452,0.10156760303049052,1.8304611541671325,3.8728330731970795,1.0,0.0
