density,risk_type,lam,n,ils_speed,ils_speed_ci,ils_red,ils_red_ci,ails_speed,ails_speed_ci,ails_red,ails_red_ci
0.1,gradient,0.5,15,4.428,"[4.334,4.547]",74.83,"[74.69,74.97]",10.364,"[9.201,11.279]",89.54,"[89.37,89.73]"
0.1,gradient,1.0,15,6.970,"[6.823,7.117]",83.36,"[83.31,83.41]",17.068,"[16.691,17.464]",93.19,"[93.11,93.29]"
0.1,hotspot,0.5,15,1.015,"[0.943,1.102]",3.84,"[0.09,7.96]",1.621,"[1.364,1.916]",40.88,"[31.90,48.19]"
0.1,hotspot,1.0,15,1.113,"[0.904,1.346]",15.60,"[5.16,23.90]",2.089,"[1.587,2.652]",53.00,"[40.77,61.17]"
0.1,uniform,0.5,15,2.122,"[2.083,2.164]",52.05,"[51.66,52.44]",5.051,"[4.949,5.176]",79.48,"[79.14,79.81]"
0.1,uniform,1.0,15,3.220,"[3.150,3.293]",67.50,"[67.35,67.65]",7.861,"[7.682,8.076]",86.38,"[86.22,86.55]"
0.2,gradient,0.5,15,4.723,"[4.615,4.860]",77.09,"[76.94,77.27]",6.370,"[6.265,6.496]",83.20,"[82.98,83.39]"
0.2,gradient,1.0,15,7.035,"[6.622,7.346]",84.23,"[84.15,84.31]",9.691,"[9.400,10.020]",88.37,"[88.25,88.49]"
0.2,hotspot,0.5,15,1.131,"[1.066,1.196]",11.56,"[7.12,15.76]",1.389,"[1.266,1.509]",30.05,"[24.69,34.92]"
0.2,hotspot,1.0,15,1.213,"[1.060,1.399]",20.59,"[13.34,26.99]",1.576,"[1.383,1.794]",37.74,"[31.42,43.00]"
0.2,uniform,0.5,15,2.508,"[2.475,2.544]",60.09,"[59.66,60.52]",3.351,"[3.271,3.439]",70.48,"[70.14,70.87]"
0.2,uniform,1.0,15,3.745,"[3.602,3.902]",71.60,"[71.42,71.79]",4.971,"[4.676,5.276]",78.99,"[78.68,79.32]"
0.3,gradient,0.5,15,5.246,"[5.137,5.349]",79.56,"[79.36,79.74]",4.873,"[4.766,4.990]",78.66,"[78.34,78.96]"
0.3,gradient,1.0,15,7.797,"[7.468,8.218]",85.13,"[85.08,85.19]",7.200,"[6.889,7.590]",84.46,"[84.32,84.62]"
0.3,hotspot,0.5,15,1.495,"[1.429,1.563]",35.39,"[32.60,38.12]",1.393,"[1.283,1.497]",33.91,"[30.75,37.08]"
0.3,hotspot,1.0,15,1.700,"[1.511,1.902]",40.46,"[34.58,45.81]",1.641,"[1.461,1.836]",39.63,"[33.93,44.96]"
0.3,uniform,0.5,15,3.091,"[3.008,3.180]",67.10,"[66.54,67.66]",2.914,"[2.849,2.994]",65.81,"[65.30,66.32]"
0.3,uniform,1.0,15,4.241,"[4.174,4.337]",75.33,"[75.10,75.55]",4.038,"[3.988,4.102]",74.59,"[74.27,74.89]"
