N,sr,sc,gr,gc,r,cells,bound,ratio,ok
200,175,196,25,67,1,717,765,0.9373,1
200,175,196,25,67,2,1291,1395,0.9254,1
200,175,196,25,67,3,1873,2041,0.9177,1
200,175,196,25,67,2,1291,1395,0.9254,1
200,175,196,25,67,10,5999,7011,0.8557,1
200,175,196,25,67,20,12134,15471,0.7843,1
200,151,103,92,185,1,373,425,0.8776,1
200,151,103,92,185,2,671,783,0.857,1
200,151,103,92,185,3,977,1157,0.8444,1
200,151,103,92,185,2,671,783,0.857,1
200,151,103,92,185,10,3343,4223,0.7916,1
200,151,103,92,185,20,7146,9963,0.7173,1
200,142,23,72,89,1,351,365,0.9616,1
200,142,23,72,89,2,639,675,0.9467,1
200,142,23,72,89,3,935,1001,0.9341,1
200,142,23,72,89,2,639,675,0.9467,1
200,142,23,72,89,10,3231,3731,0.866,1
200,142,23,72,89,20,7191,8991,0.7998,1
200,110,42,136,167,1,436,640,0.6813,1
200,110,42,136,167,2,754,1170,0.6444,1
200,110,42,136,167,3,1080,1716,0.6294,1
200,110,42,136,167,2,754,1170,0.6444,1
200,110,42,136,167,10,3586,5986,0.5991,1
200,110,42,136,167,20,7846,13446,0.5835,1
200,68,176,127,135,1,268,310,0.8645,1
200,68,176,127,135,2,484,576,0.8403,1
200,68,176,127,135,3,708,858,0.8252,1
200,68,176,127,135,2,484,576,0.8403,1
200,68,176,127,135,10,2500,3280,0.7622,1
200,68,176,127,135,20,5740,8100,0.7086,1
200,172,0,75,55,1,407,500,0.814,1
200,172,0,75,55,2,718,918,0.7821,1
200,172,0,75,55,3,1031,1352,0.7626,1
200,172,0,75,55,2,718,918,0.7821,1
200,172,0,75,55,10,3286,4838,0.6792,1
200,172,0,75,55,20,6696,11178,0.599,1
200,6,19,188,44,1,605,925,0.6541,1
200,6,19,188,44,2,1035,1683,0.615,1
200,6,19,188,44,3,1473,2457,0.5995,1
200,6,19,188,44,2,1035,1683,0.615,1
200,6,19,188,44,10,4679,8323,0.5622,1
200,6,19,188,44,20,9152,18063,0.5067,1
200,191,69,56,152,1,580,690,0.8406,1
200,191,69,56,152,2,1032,1260,0.819,1
200,191,69,56,152,3,1492,1846,0.8082,1
200,191,69,56,152,2,1032,1260,0.819,1
200,191,69,56,152,10,4893,6396,0.765,1
