N,alpha,node_reduction_factor,space_reduction_VC,predicted_1_over_4alpha
200,0.02,18.328,22.472,12.5
200,0.05,6.063,7.156,5.0
200,0.1,3.214,3.778,2.5
200,0.2,1.753,2.061,1.25
300,0.02,15.074,17.9,12.5
300,0.05,6.378,7.576,5.0
300,0.1,3.207,3.798,2.5
300,0.2,1.754,2.066,1.25
500,0.02,14.907,17.495,12.5
500,0.05,6.346,7.505,5.0
500,0.1,3.216,3.815,2.5
500,0.2,1.759,2.07,1.25
750,0.02,15.643,18.546,12.5
750,0.05,6.237,7.402,5.0
750,0.1,3.204,3.79,2.5
750,0.2,1.732,2.056,1.25
1000,0.02,14.984,17.797,12.5
1000,0.05,6.2,7.351,5.0
1000,0.1,3.227,3.828,2.5
1000,0.2,1.739,2.061,1.25
1500,0.02,15.087,17.901,12.5
1500,0.05,6.154,7.301,5.0
1500,0.1,3.193,3.798,2.5
1500,0.2,1.737,2.058,1.25
2000,0.02,15.124,17.953,12.5
2000,0.05,6.21,7.377,5.0
2000,0.1,3.21,3.809,2.5
2000,0.2,1.739,2.063,1.25
